id	filename	md5	size	state
6bf358a5-98a3-4b2f-8798-17f4f1a58f75	d82516e5-6536-4666-b834-82111e0de77b.htseq.counts.gz	bef347583dc0cdb3b6b75269f2dab52f	260961	live
d7509a1d-f934-4054-9d57-3a091b1882ec	254b71a7-176c-4258-8fa9-2985223138ff.htseq.counts.gz	0d794423d0f786834d33e8fb0e530be8	260062	live
af60ba0b-7e21-4610-a24f-d10b76983621	fbc1a18a-399b-4ecd-a6d0-1770773f9c14.htseq.counts.gz	ffde9266b3082d32beccc8a575728d8d	257986	live
4ebda522-ee21-48c7-a399-a7dc8006be65	ae59d924-06ec-428d-b470-e78ed92c5e36.htseq.counts.gz	b5f9ec14348f9daecd60325ffa9dcd64	256748	live
0d998aec-02a2-48c5-9960-101941cccf34	9e49e3ff-f780-48db-9349-e59e2112b6de.htseq.counts.gz	4033ef917f3996b4c044b0a245340e1b	257134	live
53dfb839-1ccc-4436-9c56-4eb69c919b80	fcecc36e-3b4e-4850-9003-fd573e08ec64.htseq.counts.gz	8f5e7510f193675a3fbc78e5bf3d2da1	253313	live
a811e4bd-d1d5-4a97-bc7f-899906c7f145	a54f5ecf-6e18-473f-ae1b-a06b4a1fd9c8.htseq.counts.gz	382c41439f1d914c9a427bf77ee6fb4c	251650	live
799fa305-8a11-42f5-9b60-d6eefb677f4d	03d6e124-5927-4573-a041-a1d8e109fa1c.htseq.counts.gz	745ef09f08ac6baee022a86d7b5fae05	258119	live
b6cc5635-4990-453c-bdd0-a327684b7cdb	a7202dc0-379c-40e6-9bbf-3337bd3328c8.htseq.counts.gz	6183fedd98658e4df2bc4a172d32439e	253893	live
81b6cfe7-6320-4b63-86e7-c7a8449f64f0	57dd7a80-e226-4e21-accb-cc944923100e.htseq.counts.gz	ef5e896af7f007d8b2bc21bf1ed34d32	259928	live
cdad8cb5-5076-43e2-8284-c6aa98923d6b	4d371fde-6f7c-492a-93ec-3a54dca92760.htseq.counts.gz	e01858b46c60ac256721c201fda1b8ad	255049	live
57d3e4aa-63b4-4b6a-bc6a-19da3b9c66fa	719e930d-dd49-4e49-97ed-7ce1f253f3cf.htseq.counts.gz	477a5af5574c49309c9ab6395668c79d	255205	live
abd131d3-5d70-45c7-b0f9-a974b61fb703	7efc881a-e8c9-4245-a71d-ec0497927f8c.htseq.counts.gz	0aa19f16dfe513d42da00137fdde1eb5	249796	live
b854dcef-2d6a-407c-8df2-4a01dcf612e1	7f39b57f-556b-46b2-a67a-af86345f900a.htseq.counts.gz	f3c3ea057af0dd90c2ca44552d71ccc8	254905	live
e7fd7e7e-4258-422b-ba60-1ab60dc5b455	8a705b7c-4607-4ede-9486-cbeb1191004e.htseq.counts.gz	d6bc3421b1f24ab52d8f6da6f91fe518	255796	live
82b7b19d-162c-417e-b38b-d1ac77a4969d	10d037c2-a3bf-46cf-9e27-0584733f6794.htseq.counts.gz	ad6bed1715f76e5f718aad02d36499fb	251151	live
08935296-478e-4f28-99bc-6c10b787b16c	121671ba-ff87-49f5-aa77-9a4fa8fcff9c.htseq.counts.gz	45b13e40bea8e36867ca97a8b359bff2	254100	live
87a78e21-7753-4ea2-96af-fab7550f5f54	287715d0-5667-434b-b104-9de5b5843877.htseq.counts.gz	2b0acbb1832e28ee2244105f7baf427d	255272	live
9fd2c7b5-c166-442f-bace-fcc97604d7bc	cb537a4c-7b5c-493f-8dea-6fd0107e6c58.htseq.counts.gz	71cbe4051280cd4d43ed7899af7d6b41	259538	live
ea158eb6-3b33-4047-a20e-886e1b6800b5	d1757d87-4920-473b-8586-24192541cb02.htseq.counts.gz	79bbea6ef44384636b465e17c0d83a3b	247644	live
3c26b8b2-dabc-4b72-9770-ea4435901a12	b2192c25-6689-497e-ae44-49fc4fc80e97.htseq.counts.gz	51169bf7f1ab0a9be23244c1cea05fe5	252318	live
f8e9f0f3-3284-4d60-84da-849049bc6d22	38ddef7b-90ed-45a4-b542-927e63b93f99.htseq.counts.gz	46c30ed10d2e23885c643ce64ce79abf	259379	live
d175ac90-472d-41cf-bf17-f8516b43e4c3	582e5a89-052e-4439-9d1e-a9d3fa0d82a7.htseq.counts.gz	994c3bf33c6b48502f2d567cac1cb7d1	252988	live
9b9a8eb6-37a5-435e-b763-6f108ad789f4	e64f1956-9d3a-4d15-a3f7-91ac52399d49.htseq.counts.gz	d9be4a05664e488662f3c4a80327cc4b	253992	live
0af1b217-6de0-48c6-ba62-6ffacdc07dce	d5a54e1d-02d7-4cee-b6b1-e0a616cc322d.htseq.counts.gz	128975071dd4ea1209d79261f761121a	247857	live
f9242139-bced-4429-b900-87105c45fde9	42ea1b79-764b-4c43-a53f-90678d27fbcc.htseq.counts.gz	59e01c1ef704baa1bca77bde07b21812	256427	live
a2373f57-fa14-4ee7-8c38-cbf9ff0f0352	bf48b226-c7ef-4fc7-bcb5-de5025763bdb.htseq.counts.gz	8b922a5f90f13ddac6c584e521069717	254157	live
abccce66-ac66-4ba8-be06-d05ba7d66bae	6976923e-a954-4ba0-9d1d-f97d7373ba48.htseq.counts.gz	5f920a694992900d338a8846fd350b8b	250973	live
882dc6e5-399a-457f-aa42-5db608f3ef71	994ba708-9a28-4e86-8dc0-f3626cb26b1e.htseq.counts.gz	1a897060484c2da91c116918a82e1e99	255207	live
a3ada9fb-2c63-4788-aeec-caa629bcd836	2dcfb5cf-c4e8-4d87-b32e-5a93b11b0117.htseq.counts.gz	661cc83fe95a40fa976d09f2025b499c	253532	live
c4cdbc17-d915-47ec-abb7-c7893f0f408f	462c9f10-874a-4115-8392-489138e9ee82.htseq.counts.gz	f5cce9e704b380a5f703ee72b1526f42	246490	live
27df57a6-7977-4f23-ad2f-ced3347f774d	e2954828-68af-490a-ac7d-16140c82a0ea.htseq.counts.gz	6ffeb17137f90506eadab9a6d61b1498	253206	live
